username,comment
@台南第一深情,別怕椅子你現在是開無敵的，合併執行
@哇哩勒-s2s,"看到九面要聯名就知道又要薛一波人氣了
這個價格跟廣告就直接不會想試
我們感謝椅子來踩給大家看"
@Tyson-9527,"傳說中一集得罪一個網紅的男人
我就知道椅子的開箱永遠不會讓我失望"
@小鈺西瓜-q9z,"7-11： Toyz嘛！我們有個合作  
 叫合併執行
Toyz：我真的原地嚇到欸！"
@荷包蛋-x4p,其實椅子講得沒錯啊～找九妹代言，然後把他的代言費都加到我們消費者身上，真的有一種買到虧到的感覺。我本身是長期吃便利商店的一般上班族。平常就是買一個便當然後再配個飲料可能在買個飯糰之類的～誰管他是誰代言啊！我只管好不好吃 口味是什麼而已好嗎 ==
@rety0000,2:20 toyz跟海鮮丼還真有緣
@Bluse1110,前幾天看完影片馬上買來吃 我深深感受到丁特遇上橘子的感覺 椅子也很中肯的代替消費者描述消費後的心得 而且我認為相符度體感是100%
@asdasdaqweq,"這種聯名的商品買了Ｎ次，心得大多都是：噱頭、cp值低、味道一般，
但人總是愛嚐鮮，而且為了嚐鮮，總是可以不計代價，
超商也算是掌握了這個屢試不爽的套路。

這次本來也沒打算去買這些商品，看上去就沒什麼新意了，
現在Toyz跟底下留言的批評成這樣，
搞得我還真想去買來試試有多難吃，尤其是抹茶跟草莓大福
不得不說也算是有幫忙廣告到。"
@ben08230,"希望全家也找椅子聯名一下

出一款美食公道伯系列的商品"
@洛基北歐故事之神,"Joeman7-11懶人包：
御飯糰:兩個cp值很低料偏少
都是以醬料蓋過去
三明治:蛋切一半
歐姆蛋番茄醬不夠味
烏龍麵:目前場上最有料
抹茶飲品：目前Toyz喝過最難喝
草莓大福：沒草莓 不夠勁"
@blumenhan6939,竟然可以逼出Toyz的美食公道伯系列，九妹狠角色www
@洛基北歐故事之神,"只有Toyz 能超越Toyz
YouTube法院王
我的超人"
@hongdavid6479,有無敵星星的椅子從不讓人失望 讚!
@ytw777,"9man超記仇的
不愧是椅子超敢講XD"
@Fuyoer,"照燒雞飯糰 
應該去消費者基金會或法院告他詐欺了!!!
""醬"" 拌飯 卻寫照燒G"
@KKai-cr7yl,"感謝椅子幫我們省錢
沒有必要嚐鮮了"
@hsiang3546,"就種就是我想看的開箱
鼓勵四大便利商店的產品企書能來找TOYZ，只要他出的代言商品，於情於理於公於私於愛於恨，一定有一堆網紅來開箱，某方面算是一種潛在廣告"
@kaze3799,"這集真的是...
椅子甭怕甭擔心~
彼此都是公眾人物.都是可受公評之事
感覺椅子 說話技巧...進步囉~
現在都會說""我個人的感覺啦""再不然就是說""我說的話不等於是大眾的感覺""
現在都不會把話說死了耶"
@luke850705,"Toyz真的評價中肯，我第一次買照燒雞拌飯咬下去的感覺就是
這三小，雞在哪裡
回家看九面影片才知道原來那只是拌飯飯糰
名字真的可以取清楚一點，有被騙到的感覺"
@洪芷芸-u1j,如果九面真的告他的話 其實是變相承認椅子說的事實吧 九面也是一般消費者 很清楚自己代言的商品確實就是椅子說的那樣
@DS-jg2gw,謝謝椅子為廣大消費群眾發聲！
@lk1167,"前幾天去711想買個便當 卻無意間看到jeoman的商品 想說好奇試看看 卻發現錢袋不夠 就沒買了 

但看完TOYZ的開箱覺得老天爺眷顧"
@YA-pd3xc,感謝TOYZ直接幫我排雷了，不用被JOEMAN抽成到
@蘇忠平-k7f,只有Toyz敢講真話！！讚～
@jasonyin7907,椅子還想拖攝影師下水，還好聰明閃避掉了
