username,comment
@cyq178xd,"你之前說過「人生他媽的就像一場直播，按下去之後從來不能停止，也沒有倒退和暫停這個按鈕」，既然該來的還是來了，為過去犯的錯付出該有的懲罰，把該還的都還一還，出來也還是一條好漢，就當作進去修行，也期待全新的你
這段時間多陪陪家人，不用想著要不要直播，只要知道支持你的粉一直都在，也會等你回來點名的，加油小劉🫶"
@thuaabkp55,Toyz真的是人才自從看超派事件之後才的知Toyz有這號人物Toyz不只在直播上學到很多平常不會教的事同時也是我的導師從Toyz身上真的學了不少也得到很多啟發也幫助這社會型型狀狀百態即便進去還是會繼續支持拾玖茶屋還有火鍋店不管幾年還是會迎接妳出來的一天加油Toyz永遠價值的導師
@anniesu2318,"認識椅子已經是他和館長吵到一半的時候
那時候因為身體生病
看到精華影片還是久違第一次笑出來
「你叫我孫子，所以你是爺爺」

然後就發現
椅子在各種砲火下 依然努力活著
自己好像也要振作一下
看命運會帶自己去哪裡

這段期間 想起椅子的案子
還是會超級想問他
「到底為什麼呀？？?」
但總覺得就算一切看似荒誕
當時的椅子應該也盡力了

盡力就好。

總之，我是來說謝謝的
謝謝你喔～椅子哥

不管在哪裡 你要平安健康
也希望你選擇獨處的時候
都不會感到寂寞
萬人簇擁的時候
都不會感到孤單

一切 會順利的！"
@AllTooWell916,"祝福你~椅子，承擔自己所犯下的錯誤，看你至少也十年了，一直以來都沒辦法討厭你，你就是有一種屬於你自己的魅力，你邏輯真的很好! 過往很多時刻都因為你而笑得很開心~ 關於你自己你講得確實也沒錯，因為若是沒有這件事情，你還是原本的自己，歷經這次以後，感覺你真的有認真審視從小到大的自己，為何走到今天這一步? 我也很開心你有誠實面對你成長過程的創傷，我希望你好好的，出來以後更圓融，(有時候說話都會替你捏把冷汗)  好好沉澱自己，我等更好的你出來點名~   
ps.實在是很討厭那個巨嬰富二代^^ 拜託不要再全台灣人拖下水，真的覺得好噁心"
@alice._.biubiu,"我是從你做美食公道伯開始關注你的
拾玖茶屋我幾乎每天喝
雖然稱不上什麼貢獻多大的粉絲
每天下班關注你有沒有新動態
是我每天必做的事

可感受到Toyz目前的情緒⋯
謝謝抽空錄製這段
畢竟大麻在台灣 終究就是不合法
希望再來在裡面
可順利度過這段時間
等你回來保重"
@AnthonyLai120,"我也知道有一天Toyz要進去，在裡面好好沉澱，偶爾寫信跟我們講一講近況
在這段時間好好陪家人，跟身邊親朋好友好好道別，把進去前該做的事都做完
我們會等你的出來的一天，在直播上見到不一樣的你，加油小劉！"
@李雪-t8l,Toyz其實說實在的我以前不太了解你 所以不太喜歡你 但自從去年開始我開始真正了解你 發現原來你這麽聰明又幽默 每次看你的直播回放都能讓我忘記生活中的煩惱 只是聽到你的聲音 我就會覺得很開心 我很慶幸能夠認識你 加油 我們會一直支持你
@webber1245,火鍋店開了我絕對去吃爆 小劉加油 看的出來你尬笑背後的壓抑
@astridshen9497,支持TOYZ，人生就像一場遊戲，框架外的人永遠不被理解，但我們只需要理解自己就夠了
@thuaabkp55,Toyz直播炸翻實話實説有ㄧ説ㄧ他已經爲這個社會創造出奇蹟一般學校不敢教的事 加油Toyz永遠支持你到底加油  
@jasonwong5121,我會俾心機讀書 兩年半後 用year3嘅身份  繼續睇你嘅片 Toyz加油
@啊凱-b2v,你是我人生中重要的導師，是你教我看清事實，Toyz 我一定等你
@2.0-ey6de,"情緒共感人，容易捕捉到細微表情，無法跟太多人相處，喜歡獨處。

我最近只跟到你一次直播，聽你提到說擔心你一直在照顧的人會沒有你照顧他們心情，其實每個人都有自己的課題，你不用背負這麼多責任，我認為你學心理學是可以幫助更多人（或幫親近的人），哪怕只是照顧自己心情也很管用。

會擔心這些是因為你無法接受做不到的你，所以試著原諒自己，沒有人是百分之百能扛住別人人生的，就算你再聰明。我最近看到一部影片，那部影片是我靈性圈的朋友貼給我的，標題＂不要去拯救你的父母＂，父母有父母自己的課題，且父母，或者我們心疼的人，其實都是他們人生＂選擇的後果＂。我們也只有照顧好自己，才有餘力去照顧別人，不能自己一團亂的情況下，去照顧他人。
原諒自己不是萬能的，沒有人可以萬能，萬能跟恐懼一樣都是人的幻想，比如某個87付二代，他可以犯罪後還洋洋得意，也只是他不懂運氣有消耗完的一天

深呼吸可以調節情緒，我有空會傳能量給你:P 就降
等你出獄回YT再見，小劉，謝謝你的直播陪我走過我的靈魂暗夜"
@WEIWEN88,toyz说真的人这一生都会有高低起伏拉，比起那些逃避问题的人，你敢做敢当的性格也是值得学习的。希望进去出来之后更加成熟。
@yuanjia1110,「嘿兄弟!好久不見!你也進來啦?我這有碗蹦粥，我還不餓請你吃」Gino親切招呼說道，「脆麵好吃，但這飯不行」Toyz話音剛落，後門就突然感受到異物入侵，他這時才想到，Gino當初是犯了什麼罪而入獄的..
@namimimiss-jq9kj,很喜歡你的堅強心性不論是否強顏歡笑，但呈現出來的，就是那股正能量，可以讓很多陷在漩渦的低潮人，給了方向去面對！加油！永遠還是你！Toyz！
@alice._.biubiu,TOYZ保重 等你！
@林家緯-t4u,"謝謝椅子讓我們可以快樂的度過這兩年,加油祝妳平安"
@賴慶姚,"Toyz每次的道歉都很誠懇，誠懇到大家都覺得他下次絕對不會再犯，可是往往下次他又會做出一樣的事

——史丹利"
@毅OOO,"TO椅子
趁著這段時間，安撫好你的陰影
讓心靈上更放鬆一些吧
戰戰兢兢了很久，休息一下吧 辛苦了"
@hehe6281pr,在剩餘的時間內多陪陪家人，加油小劉🫶
@user-ub5cr1kd4e,Toyz加油 當作終於能休息 讓自己好好休息一陣子！
@米堤-k1q,從還在TPA的時候就很喜歡椅子 看到這樣真的很難過 希望你能早點出來 我們等你🥹
@longdi427,椅子~撈最後一波了~多撈點~以後叫人家買會客菜可以買多一點哈哈
@彰李-i2d,"只能說Toyz很有悔不當初的感受。
真的有後悔，但事情發生了也只能面對了。我從來沒跟過直播，但我很喜歡美食公道伯的影片跟其他直播精華，真的是個很聰明很有才的人。
從旁人角度來看，真的很可惜，一個人終於要圓夢開店，粉絲跟名氣也都到達一定的程度，現在卻止於此，因為過去的自己，讓未來的自己產生了轉折，迷茫，後悔。
還是期待未來能夠再看到你的影片，監獄美食公道伯（喂"
@philipschiang,椅子加油 等你出來東山在起 希望進去前可以把全台拾玖茶屋再跑一次
@tziyeh3768,誠心祝福你，那些輿論不會打倒你，而是讓你成為更好的人，加油椅子哥
@TheTonyCAcc,加油啦toyz
@STAR_WARS9,我會繼續支持拾玖茶屋支持椅子哥
@Lance-13640,"就如同椅子所說的，如果當時沒犯錯，或許就無法真正認識自己，藉由過去那兩年多的時間去了解，慢慢的改變。
現在要去執刑了，利用這段時間好好沉澱，搞不好椅子會以不同的方式跟外界有些許聯繫
期待椅子回來，記得要開直播，等你的點名
加油 兩年後見"
@CWL-pp6dv,打破因循迂腐的台灣社會生態，Toyz 是網紅第一人 。
@johnny199613,看一次少一次...人生就是一場直播，既然停止不了，那就將戲繼續演下去吧!! 椅子多陪陪家人吧~粉絲們一直都在，只要記得出來後想開播，你的紛絲依舊在那等你，加油小劉
@30721m,"Toyz加油
等你早日出來回來
真的很喜歡你
你是我少數喜歡會關注的YouTuber
你的影片直播好好看
不想看你入監獄更不想要你被驅逐出境
但還是要遵守法規"
@juicecccc,"加油 toyz 看你直播很久了！
你的拾玖茶屋超好喝！
喝兩次了"
@vkselina,一定等你出來!!yt鬼才只有椅子才可以
@linlee069,"小劉加油 
祝平安順心，出來還是一條好漢"
@Brandon-r7m,Toyz怎麼會覺得我們在擔心他~我們只煩惱以後沒瓜可吃了該怎麼辦~超派
@摩爾莊園-w3k,Toyz 你在接受你應該的懲罰，無法說什麼祝福的話，但2年後依然等你的直播和精華～
@yang_tuo0618,暑假沒Toyz 怎麼活啊啊啊啊啊啊啊
@Victor89081,"雖然你被“封號”幾年
但我相信這幾年絕對沒什麼人可以超越toyz
酸你的人很多，但支持你的人也很多
加油啦"
@吃漢大叔,喜歡看椅子，聰明口條清晰，加油
@rice_hamster,唯一支持TOYZ
@黃噗尼,支持你改過自新，面對過去走向未來正軌，加油啊椅子
@tomlin1351,4個月後好想小劉的+1 QQ
@Worrr1023,加油toyz 會等你
@你媽-l2s,椅子哥 謝謝你在我這一段情緒不穩定的期間帶給我娛樂 每次看你用你的邏輯在臭人看他們被你臭到變白癡我就覺得超好笑 希望你可以快點出來～～～你永遠都是我們的椅哥🫡 兩年半後繼續看你用邏輯殺一遍天～
@愛探險的偷米,"椅子哥加油 等你回來
永遠支持"
@Rainbow-ne6uv,小劉進去了感覺以後少很多樂子了
@吳麻吉-l7n,加油椅子
@呵呵-h2o,這段時間多陪陪家人，小劉加油
@Putin77,"超派消失一陣子 一復出
椅子就火速收到公文要進去關
太有想像空間"
@ff__8586,椅子我會想你
@3c7776,Toyz 最頂的啦 早點出來 加油
@nataliepower0708,犯罪就是犯罪，就應該伏法，雖然不是你的鐵粉，但Toyz嘴這些道貌岸然的假聖人館長、超派就是過癮，自己加油啦，出來重生還是一條活龍，別讓時間磨光你的銳氣。相信你下次也不會再犯了，但錯了就是好好承擔吧。
@還得是你,早去早回，祝一切安好，小劉加油
@IaM-dh8bo,"加油小劉～ 希望不會沒有你太久
不然真的太無聊啦"
@G58LanPa,加油椅子，進去蹲之前多Kao幾發會對你比較好一點
@早安-d6z,小劉加油，等你出來
@Leung0213,"我也是香港人，所以看見Toyz即將要坐牢,心中不期然有點不舒服，但既然做錯了就去積極面對吧,真的別浪費這段時間好好武裝自己吧,兩三年對於他整個人生只是很少一部份,所以充實自己好重要，等你出來吧"
@markh6296,希望toyz能變成一個好人，可以幫助社會很多，那麼聰明鬼才一個
@alice-nx8go,"其實兩年真得還好，也能帶或寄會客菜，如果自己不在，事業就會垮，老婆朋友就會跑，那也代表感情本就不堅定，其實不用這麼悲情
感覺應該是比當兵好，聽到很多人描述當兵生活，但椅子沒當過兵，所以可能要適應一下，聽說新訓一整個月都沒自由不能吃外食，被關吃到外食機率還高一點"
@stephencurry3585,椅子加油 我會繼續支持你的
@a.bob.9443,小劉加油
@TTC-kg4ot,這段時間好好陪家人吧，小劉加油
@lcp2322,其實想看Toyz在裡面寫日記 整合一本書 也能檢視自己兩年內的變化
@BBBBB-p6c,館長看toyz要進去又開始臭了
@12328q,椅子說要進去寫本書，我會買的！！
@tairicky3783,椅子加油，等你出來收拾超哥
@7474fan,小劉加油 好好表現希望能早點出來
@jessylo2722,Toyz讓我認清超哥..原本看他拍幫助人的影片覺得他很不錯，沒想到他是這麼糟，toyz 是我覺得少數口條+邏輯好的youtuber ！加油
@ChengYu-lx7by,椅子哥 加油，早去早回等你回歸
@0213kevin,"toyz加油 
等你出來的那一天"
